professionals_id,professionals_location,professionals_industry,professionals_headline,professionals_date_joined
9ced4ce7519049c0944147afb75a8ce3,,,,2011-10-05 20:35:19 UTC+0000
f718dcf6d2ec4cb0a52a9db59d7f9e67,,,,2011-10-05 20:49:21 UTC+0000
0c673e046d824ec0ad0ebe012a0673e4,"New York, New York",,,2011-10-18 17:31:26 UTC+0000
977428d851b24183b223be0eb8619a8c,"Boston, Massachusetts",,,2011-11-09 20:39:29 UTC+0000
e2d57e5041a44f489288397c9904c2b2,,,,2011-12-10 22:14:44 UTC+0000
c9bfa93898594cbbace436deca644c64,,,,2011-12-12 14:25:46 UTC+0000
ed85488fb5e941eaa97014137fcbf317,,,,2011-12-28 03:02:04 UTC+0000
102fb92c28034ad988b593d0111cb4bb,,,,2011-12-26 05:00:00 UTC+0000
5a4a16842ec64430ac3f916aacf35fe1,,,,2011-12-26 05:00:00 UTC+0000
81999d5ad93549dab55636a545e84f2a,,,,2011-12-26 05:00:00 UTC+0000
7d425e8d7cfb4fe7b0702fff4d6d84e7,"Milwaukee, Wisconsin",,Ph.D. Student in Political Science at Harvard University,2011-12-26 05:00:00 UTC+0000
7daf1e6dfb3443b99b240890f0a4d69b,,,,2011-12-26 05:00:00 UTC+0000
b7dc946585734ab8acfbeeeb0d76af20,,,,2011-12-26 05:00:00 UTC+0000
4863a65cd35b42a1bb89f3ecfc8fa2fe,,,,2011-12-26 05:00:00 UTC+0000
d07bdc32226e4d2c826da05b39a0f8f7,,,,2011-12-26 05:00:00 UTC+0000
68ecc66323b8418092fdd724aaf5be94,"New York, New York",Special Events,Event Hospitality & Operations Specialist,2011-12-26 05:00:00 UTC+0000
2b17cd431763494fa6096617645ba173,,,,2011-12-26 05:00:00 UTC+0000
4ca2656185ca4ed298111128d2e1679e,,,,2011-12-26 05:00:00 UTC+0000
971937860c164896a0771bf502bad482,"Wilmington, Vermont",,,2011-12-26 05:00:00 UTC+0000
0c9a2748560541be9fe2df0d7be88282,"New York, New York",,,2011-12-26 05:00:00 UTC+0000
b6af2f682f0e4bf2af7783c1980820e6,,,,2011-12-26 05:00:00 UTC+0000
752fe9d006c246a285787563ddb69bf8,,,,2011-12-26 05:00:00 UTC+0000
0891498de2ed423f85ec713e00b53561,,,,2011-12-26 05:00:00 UTC+0000
8074bb4fb8894ab99c2716ea6ef91ff9,,,,2011-12-26 05:00:00 UTC+0000
5f77e0a2c3a144dda336df2294a64530,,,,2011-12-26 05:00:00 UTC+0000
8ff80b2548fa4e68892da71d1e320289,,,,2011-12-26 05:00:00 UTC+0000
20c67345727444678b7e91267f1c1d4b,,,,2011-12-26 05:00:00 UTC+0000
2a8328f6ceb548699a64293f986f3d19,"Washington, Washington",,,2011-12-26 05:00:00 UTC+0000
8e75aca48b434c79b8b4729ef871cb50,"Boston, Massachusetts",,,2011-12-26 05:00:00 UTC+0000
01b3e033848b41f6b7a55cefc59ba61a,"San Francisco, California",,,2011-12-26 05:00:00 UTC+0000
c79d4e4fd9af4ab7a7e6b6f433128476,"New York, New York","education, tech, media","media, technology, education",2011-12-26 05:00:00 UTC+0000
b74e5cecf8f04d4788c57e78b635e748,,,,2011-12-26 05:00:00 UTC+0000
ed8b09158dbc4cbf9d32e036e843a792,,,,2011-12-26 05:00:00 UTC+0000
c64171dd674b41a0bec047ecf0b2ab2a,,,,2011-12-26 05:00:00 UTC+0000
5e9ee8611ee34185a90e4c40f02567ff,"Trenton, Michigan",Renewable energy,,2011-12-26 05:00:00 UTC+0000
edc068386fa3465cb51e82275f63afe8,,,,2011-12-26 05:00:00 UTC+0000
750e10d868a9499baad174d357b149d8,"Nashville, Tennessee",,,2011-12-26 05:00:00 UTC+0000
f3060f92459f470ba642ef746a0b7391,,,,2011-12-26 05:00:00 UTC+0000
247ab051f0794fd09a045a32756f0639,,,,2011-12-26 05:00:00 UTC+0000
aad9fb4082fe4a868db9c4b1b5226e8b,,,,2011-12-26 05:00:00 UTC+0000
d67201e5fcdc4a339c6d6e1e0b0eecfc,"New York, New York",,,2011-12-26 05:00:00 UTC+0000
53aa5b6c86d641338704b531423bb442,,,,2011-12-26 05:00:00 UTC+0000
